fipscode,state,county,year,v001_rawvalue,v009_rawvalue,v011_rawvalue,v036_rawvalue,v042_rawvalue,v049_rawvalue,v060_rawvalue,v070_rawvalue,v139_rawvalue,v143_rawvalue,county_ranked
31045,NE,Dawes County,2018,5692.412567,0.167377339,0.294,3.093184477,3.235429255,0.232233074,0.096,0.244,0.141,0.258226297,1
31047,NE,Dawson County,2018,5922.406245,0.173043868,0.344,3.266768157,3.035076185,0.173062028,0.1,0.264,0.084,0.275391045,1
31049,NE,Deuel County,2018,8086.010318,0.159781712,0.329,2.929549138,3.050911139,0.1874936,0.102,0.277,0.108,0.274534185,1
31051,NE,Dixon County,2018,6131.806091,0.165041464,0.349,3.153298909,3.046117896,0.211101352,0.098,0.317,0.104,0.28752992,1
31053,NE,Dodge County,2018,7378.475613,0.180760711,0.345,3.32060445,3.406325421,0.198172457,0.108,0.265,0.115,0.312326521,1
31055,NE,Douglas County,2018,6433.725644,0.170772371,0.284,3.26913525,3.342016616,0.223617746,0.087,0.206,0.138,0.305408401,1
31057,NE,Dundy County,2018,6833.05193,0.146154742,0.351,3.034991392,3.008686604,0.181702489,0.104,0.254,0.104,0.270513594,1
31059,NE,Fillmore County,2018,10112.13585,0.160127773,0.342,2.859912685,2.914832626,0.198641585,0.105,0.286,0.113,0.274827731,1
31061,NE,Franklin County,2018,6006.459778,0.153161821,0.324,3.077994221,3.113954157,0.189045835,0.095,0.264,0.115,0.275652573,1
31063,NE,Frontier County,2018,4649.548302,0.157887122,0.352,2.79149326,2.894942587,0.201784819,0.097,0.257,0.125,0.283709136,1
31065,NE,Furnas County,2018,7464.64929,0.164380128,0.321,3.248188096,3.424554361,0.168721128,0.135,0.274,0.137,0.27037218,1
31067,NE,Gage County,2018,7536.76664,0.172590482,0.358,2.841474907,3.158733586,0.227166837,0.105,0.283,0.125,0.296731367,1
31069,NE,Garden County,2018,4780.33455,0.155241596,0.331,3.022999844,3.024509099,0.177864987,0.098,0.293,0.112,0.257777979,1
31071,NE,Garfield County,2018,4904.0119,0.139823368,0.279,2.898971591,3.020404724,0.182234167,0.097,0.276,0.119,0.258178056,1
31073,NE,Gosper County,2018,4965.299451,0.141663729,0.314,2.711832657,2.83433215,0.204218712,0.101,0.244,0.107,0.269166081,1
31077,NE,Greeley County,2018,7502.542767,0.1534194,0.342,3.023735115,3.0691643,0.201156874,0.098,0.341,0.115,0.280891421,1
31079,NE,Hall County,2018,5760.616082,0.161086731,0.329,3.108547015,3.059311416,0.179071364,0.088,0.27,0.105,0.307774098,1
31081,NE,Hamilton County,2018,7517.334387,0.136726547,0.322,2.706200932,2.884257865,0.190516123,0.078,0.238,0.106,0.262546936,1
31083,NE,Harlan County,2018,3957.931746,0.17241266,0.363,3.279521423,3.279574595,0.176618908,0.108,0.279,0.117,0.295250983,1
31087,NE,Hitchcock County,2018,8049.337012,0.173478999,0.361,3.171836748,3.281101828,0.178635532,0.107,0.269,0.139,0.29689642,1
31089,NE,Holt County,2018,5190.738484,0.133801203,0.307,2.866789565,2.795215834,0.175075534,0.099,0.295,0.119,0.289747946,1
31093,NE,Howard County,2018,5060.077857,0.147738999,0.319,2.913693896,2.828645436,0.205562189,0.093,0.255,0.118,0.285825345,1
31095,NE,Jefferson County,2018,8732.201303,0.159122302,0.371,3.08027853,3.01441193,0.187754328,0.111,0.287,0.12,0.267343029,1
31097,NE,Johnson County,2018,7822.003587,0.17712996,0.318,2.966052819,2.943648219,0.205733196,0.091,0.276,0.119,0.299816534,1
31099,NE,Kearney County,2018,8144.557229,0.148358391,0.336,2.806031645,3.043384079,0.21168676,0.095,0.241,0.106,0.287960029,1
31101,NE,Keith County,2018,7357.595964,0.159127484,0.277,3.061471925,2.980621027,0.193796298,0.095,0.283,0.122,0.293427542,1
31105,NE,Kimball County,2018,5230.315868,0.17149447,0.329,3.243619436,3.365909164,0.179472238,0.113,0.296,0.13,0.289152752,1
31107,NE,Knox County,2018,6823.121333,0.158640605,0.322,3.089186635,3.050134241,0.196852738,0.098,0.284,0.128,0.279078489,1
31109,NE,Lancaster County,2018,5218.439534,0.14333587,0.272,2.781040565,3.098066028,0.249514627,0.075,0.178,0.139,0.266203336,1
31111,NE,Lincoln County,2018,7222.442348,0.182077687,0.321,3.231496161,3.278268095,0.178356979,0.105,0.262,0.122,0.315856966,1
31119,NE,Madison County,2018,5501.611286,0.172824215,0.328,3.072260131,3.212582643,0.197626105,0.106,0.229,0.117,0.294113996,1
31121,NE,Merrick County,2018,8795.124024,0.149143407,0.325,2.863011814,3.047496856,0.208783705,0.117,0.293,0.117,0.275440786,1
31123,NE,Morrill County,2018,9103.579556,0.17013913,0.333,3.201097796,3.201349349,0.180655828,0.102,0.273,0.104,0.266676511,1
